frequency_hz,magnitude,phase_deg
0.0,359.67513234691086,-180.0
0.1,14.120401892327328,89.95032046412751
0.2,7.089731192002707,86.54307137375801
0.30000000000000004,4.7551610727798845,83.90970566153128
0.4,3.595896831976479,81.50075392907546
0.5,2.9067521991751675,79.21468130675244
0.6000000000000001,2.452550838613593,77.02364101695844
0.7000000000000001,2.1324672525902626,74.91983422520354
0.8,1.8960713417709136,72.90205193634492
0.9,1.71533626171454,70.97119603756188
1.0,1.5734402655231,69.12854150433185
1.1,1.4596762814929107,67.37500944573107
1.2000000000000002,1.3669058835264036,65.7108856399539
1.3,1.29018844653501,64.13575081498452
1.4000000000000001,1.2259972289025522,62.648497953553
1.5,1.171748865946834,61.24741804851925
1.6,1.125509297256566,59.930290678054085
1.7000000000000002,1.0858029264110802,58.69448827258934
1.8,1.05148578536558,57.53708046203852
1.9000000000000001,1.0216581163373624,56.454917064390145
2.0,0.9956034110701174,55.44471473287745
2.1,0.9727447701355916,54.50311404449241
2.2,0.9526130063893375,53.62673995650662
2.3000000000000003,0.9348232353897442,52.81224607175137
2.4000000000000004,0.9190570897926238,52.056346496538964
2.5,0.90504930449721,51.35584708580517
2.6,0.8925773959302532,50.7076580229047
2.7,0.8814535629428314,50.108810901435625
2.8000000000000003,0.871518451752673,49.55646727646385
2.9000000000000004,0.8626360700968964,49.04792200871527
3.0,0.854689806043896,48.580608647129615
3.1,0.8475792111792457,48.15209423654597
3.2,0.8412173579305434,47.76007966731164
3.3000000000000003,0.8355287653804812,47.40239539672887
3.4000000000000004,0.8304475987035826,47.076996687884545
3.5,0.8259162430485887,46.781960709338875
3.6,0.8218840970487511,46.51547792218584
3.7,0.8183065632174117,46.27584803662231
3.8000000000000003,0.8151442373660236,46.06147344880375
3.9000000000000004,0.8123621817330462,45.87085371672852
4.0,0.8099293376937692,45.70258083053315
4.1000000000000005,0.8078180119639488,45.555332458674485
4.2,0.8060034442193659,45.42786722595276
4.3,0.8044634508377081,45.31901920191821
4.4,0.8031781015582841,45.227693415720815
4.5,0.8021294513526905,45.15286164388126
4.6000000000000005,0.8013013011384362,45.093557710190765
4.7,0.8006789956919831,45.0488735513533
4.800000000000001,0.8002492506137667,45.017955296992824
4.9,0.799999998372461,44.999999882701715
5.0,0.800000000797585,45.00000005748256
5.1000000000000005,0.7999999984362889,44.99999988730168
5.2,0.8002300742083052,45.01657450759366
5.300000000000001,0.8006020986935893,45.043344813927284
5.4,0.8011083824442462,45.07971635139291
5.5,0.8017418589167907,45.12512870469937
5.6000000000000005,0.8024960223666447,45.17905314322076
5.7,0.8033648752090852,45.24099076260203
5.800000000000001,0.8043428796338131,45.310470639370564
5.9,0.8054249115729891,45.3870480637791
6.0,0.8066062216639163,45.47030330432001
6.1000000000000005,0.8078823995207706,45.55983899367655
6.2,0.8092493452198803,45.6552797894786
6.300000000000001,0.810703251367071,45.7562702992035
6.4,0.8122405594091113,45.86247467411059
6.5,0.8138579541701305,45.973575477515595
6.6000000000000005,0.8155523242163849,46.08927126307331
6.7,0.8173207584526699,46.2092772515817
6.800000000000001,0.8191605396850158,46.333322536949645
6.9,0.8210691039397896,46.461151343968396
7.0,0.8230440578535727,46.59252161440292
7.1000000000000005,0.8250831239760071,46.72720275483116
7.2,0.8271841639589006,46.86497739890515
7.300000000000001,0.8293451709131677,47.00563712948995
